"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.48309064344275e-20,0.0719736480010407,0.148,0.091,6.52258250219542e-16,"Adrenal Gland_All_GW14","NDUFS8"
2.54222317612693e-20,-0.224177737414138,0.145,0.217,6.67791183905022e-16,"Adrenal Gland_All_GW14","HMGCS1"
4.63349025869207e-20,0.0638628743595273,0.168,0.106,1.21712522115323e-15,"Adrenal Gland_All_GW14","CD164"
7.61286544680881e-20,0.0621989137239755,0.1,0.056,1.99974749556774e-15,"Adrenal Gland_All_GW14","PDCD6"
1.06017919720599e-19,0.0635943028987423,0.116,0.068,2.78487871522068e-15,"Adrenal Gland_All_GW14","CTSL"
1.43230147259285e-19,0.071099011103356,0.137,0.084,3.7623695082069e-15,"Adrenal Gland_All_GW14","YBX1"
1.92323639188792e-19,0.0637468910144803,0.144,0.088,5.05195735421119e-15,"Adrenal Gland_All_GW14","NREP"
2.20588192061528e-19,0.083182038933822,0.258,0.182,5.79441062907221e-15,"Adrenal Gland_All_GW14","SLC25A6"
3.16983899489094e-19,-0.109180751700783,0.048,0.104,8.32653307177953e-15,"Adrenal Gland_All_GW14","MEF2C"
5.19152187432286e-19,0.062896557266039,0.113,0.066,1.36370896594713e-14,"Adrenal Gland_All_GW14","CHMP2A"
5.92964365127855e-19,-0.0883838027128585,0.045,0.101,1.55759879431785e-14,"Adrenal Gland_All_GW14","ERGIC1"
6.76517978902426e-19,0.0561007760576246,0.111,0.065,1.77707742698089e-14,"Adrenal Gland_All_GW14","SLC3A2"
9.08348877312558e-19,-0.171427059513508,0.091,0.155,2.38605083092463e-14,"Adrenal Gland_All_GW14","TIMP3"
1.83750377042808e-18,0.0570876581605534,0.106,0.061,4.82675490416048e-14,"Adrenal Gland_All_GW14","MLF2"
3.2907828820446e-18,0.0717109499090005,0.164,0.107,8.64422847455475e-14,"Adrenal Gland_All_GW14","REEP5"
3.31051946862397e-18,0.0671944616270786,0.154,0.099,8.69607254018144e-14,"Adrenal Gland_All_GW14","PRDX6"
3.89403804842161e-18,0.0546536184421303,0.1,0.057,1.02288591455939e-13,"Adrenal Gland_All_GW14","ZFAND6"
4.47788017998323e-18,0.0574926283129028,0.114,0.067,1.17624956567799e-13,"Adrenal Gland_All_GW14","TMEM230"
4.67055027192174e-18,0.0558128801128983,0.109,0.064,1.2268601454284e-13,"Adrenal Gland_All_GW14","CCNL1"
5.95029962010706e-18,0.0680404611360622,0.168,0.11,1.56302470420972e-13,"Adrenal Gland_All_GW14","TSC22D3"
6.15547055221084e-18,0.0604110224236201,0.121,0.073,1.61691900465474e-13,"Adrenal Gland_All_GW14","GDI2"
9.10484877178585e-18,0.0898858674280531,0.247,0.178,2.39166167537271e-13,"Adrenal Gland_All_GW14","CYB5B"
9.61525603816247e-18,-0.160606945649219,0.079,0.139,2.52573545610452e-13,"Adrenal Gland_All_GW14","VIM"
1.15725549810029e-17,0.0476766408606615,0.185,0.122,3.03987874240984e-13,"Adrenal Gland_All_GW14","HSPA9"
1.46164204349752e-17,-0.165722789309535,0.076,0.134,3.83944131985929e-13,"Adrenal Gland_All_GW14","DHCR7"
2.16595650132296e-17,-0.248237874566195,0.205,0.27,5.68953453767515e-13,"Adrenal Gland_All_GW14","PSAP"
2.37437936625751e-17,0.063525983272191,0.111,0.066,6.23701971928523e-13,"Adrenal Gland_All_GW14","DYNC1I2"
2.61693846880025e-17,-0.110537896166433,0.079,0.14,6.8741739698445e-13,"Adrenal Gland_All_GW14","FDXR"
2.86348623328832e-17,0.0601784927560517,0.136,0.085,7.52180563760175e-13,"Adrenal Gland_All_GW14","KDELR2"
2.96090028287051e-17,0.06548851448743,0.135,0.085,7.77769286304425e-13,"Adrenal Gland_All_GW14","TMEM50A"
3.56379213823603e-17,-0.322283525674555,0.165,0.228,9.36136918871841e-13,"Adrenal Gland_All_GW14","FOS"
4.58808600757758e-17,0.0616067005628947,0.126,0.078,1.20519843247048e-12,"Adrenal Gland_All_GW14","APRT"
4.87999077812524e-17,0.0746012809812064,0.165,0.11,1.28187597759794e-12,"Adrenal Gland_All_GW14","ARF1"
7.1140211347147e-17,0.0603276220997933,0.133,0.083,1.86871107166686e-12,"Adrenal Gland_All_GW14","TSPAN7"
8.93275516009647e-17,-0.140419634330793,0.1,0.162,2.34645612545414e-12,"Adrenal Gland_All_GW14","JUN"
1.05569669552734e-16,0.0620268377326898,0.134,0.085,2.77310407981121e-12,"Adrenal Gland_All_GW14","GSTO1"
1.12345062061975e-16,0.0694299155134745,0.191,0.131,2.95108009024397e-12,"Adrenal Gland_All_GW14","PRKAR1A"
1.51078986410518e-16,-0.403976773795712,0.355,0.396,3.96854281503149e-12,"Adrenal Gland_All_GW14","SPARC"
1.81054404897534e-16,0.0538391984236912,0.507,0.397,4.75593710784844e-12,"Adrenal Gland_All_GW14","TPT1"
1.81730636744863e-16,-0.0869776756153568,0.052,0.105,4.77370036601406e-12,"Adrenal Gland_All_GW14","CYB5R3"
1.91167264320519e-16,-0.238722448039298,0.216,0.277,5.02158169917138e-12,"Adrenal Gland_All_GW14","PEG10"
4.27586341030064e-16,0.0553533441105773,0.112,0.068,1.12318380061777e-11,"Adrenal Gland_All_GW14","RHOC"
4.91360716747749e-16,-0.127893349179249,0.125,0.189,1.29070633075299e-11,"Adrenal Gland_All_GW14","MYL9"
5.26153775384092e-16,-0.116855827031026,0.096,0.156,1.38210073717893e-11,"Adrenal Gland_All_GW14","ALDH3A2"
6.9928070332189e-16,0.0698783313380814,0.189,0.131,1.83687055148594e-11,"Adrenal Gland_All_GW14","RBM39"
1.00913693248513e-15,0.0533938490524946,0.109,0.066,2.65080089425193e-11,"Adrenal Gland_All_GW14","HNRNPR"
1.18688445113465e-15,-0.101548437728949,0.051,0.101,3.11770807624051e-11,"Adrenal Gland_All_GW14","MT1E"
2.47144896368447e-15,0.0626624791604024,0.153,0.102,6.49200213780638e-11,"Adrenal Gland_All_GW14","CNN3"
2.67192788259004e-15,0.0564712341213564,0.109,0.067,7.01862016198753e-11,"Adrenal Gland_All_GW14","SMDT1"
2.84229403249976e-15,-0.127804343994793,0.153,0.218,7.46613796457037e-11,"Adrenal Gland_All_GW14","EEF2"
7.15391866836558e-15,-0.102842100404412,0.07,0.122,1.87919135580627e-10,"Adrenal Gland_All_GW14","COL15A1"
8.48078189883111e-15,0.055582134654013,0.114,0.071,2.22773178918496e-10,"Adrenal Gland_All_GW14","DAZAP2"
9.1215255035816e-15,-0.118469740548834,0.114,0.173,2.39604231928081e-10,"Adrenal Gland_All_GW14","CTNNB1"
9.66105555626301e-15,0.0548561912992174,0.116,0.073,2.53776607351917e-10,"Adrenal Gland_All_GW14","ADI1"
1.45723014323146e-14,-0.123070109996294,0.078,0.131,3.8278521402404e-10,"Adrenal Gland_All_GW14","HLA-B"
1.68363398769595e-14,0.0478335716056276,0.106,0.065,4.42256975887972e-10,"Adrenal Gland_All_GW14","CFDP1"
2.05929385548174e-14,-0.0778928441051069,0.058,0.108,5.40935309957943e-10,"Adrenal Gland_All_GW14","RAB10"
7.69684539241133e-14,0.0539967157381428,0.113,0.072,2.02180734767861e-09,"Adrenal Gland_All_GW14","ACTR3"
7.69814530061452e-14,-0.0840711284776022,0.054,0.101,2.02214880756542e-09,"Adrenal Gland_All_GW14","APLP2"
1.08324486036957e-13,0.0651489759723073,0.182,0.129,2.84546759921878e-09,"Adrenal Gland_All_GW14","HADHB"
1.74745835554883e-13,-0.117480266935979,0.18,0.244,4.59022360835568e-09,"Adrenal Gland_All_GW14","ITM2B"
2.31177036636827e-13,0.0481960597320122,0.105,0.066,6.07255839837617e-09,"Adrenal Gland_All_GW14","ATRAID"
2.74164103199154e-13,0.0517019710276421,0.116,0.075,7.20174266283538e-09,"Adrenal Gland_All_GW14","IMMT"
3.13410069467858e-13,0.0506994137863118,0.112,0.072,8.2326557047817e-09,"Adrenal Gland_All_GW14","UQCRC2"
